"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","5","8","4","1","4","1","5","8","3","2","6","7","6","7","3","2","12"
"2","2","8","5","3","4","6","7","1","5","3","2","8","7","1","4","6","15"
"3","2","3","7","6","7","6","2","3","8","5","1","4","1","4","8","5","12"
"4","8","8","7","7","5","5","6","6","1","1","2","2","4","4","3","3","9"
"5","2","4","6","8","2","4","6","8","1","3","5","7","1","3","5","7","3"
"6","1","4","8","5","8","5","1","4","7","6","2","3","2","3","7","6","12"
"7","6","5","8","7","2","1","4","3","6","5","8","7","2","1","4","3","2"
"8","1","7","6","4","3","5","8","2","6","4","1","7","8","2","3","5","15"
"9","4","7","2","5","7","4","5","2","1","6","3","8","6","1","8","3","6"
"10","3","6","5","4","8","1","2","7","1","8","7","2","6","3","4","5","8"
"11","4","2","7","5","1","3","6","8","6","8","1","3","7","5","4","2","11"
"12","4","3","2","1","8","7","6","5","4","3","2","1","8","7","6","5","2"
"13","4","2","8","6","4","2","8","6","3","1","7","5","3","1","7","5","3"
"14","4","5","5","4","6","3","3","6","7","2","2","7","1","8","8","1","16"
"15","1","2","3","4","5","6","7","8","1","2","3","4","5","6","7","8","2"
"16","7","8","6","5","2","1","3","4","2","1","3","4","7","8","6","5","10"
"17","5","7","2","4","8","6","3","1","3","1","8","6","2","4","5","7","11"
"18","8","3","6","1","3","8","1","6","5","2","7","4","2","5","4","7","6"
"19","8","7","6","5","4","3","2","1","8","7","6","5","4","3","2","1","2"
"20","7","5","3","1","7","5","3","1","8","6","4","2","8","6","4","2","3"
"21","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1"
"22","5","8","3","2","1","4","7","6","6","7","4","1","2","3","8","5","4"
"23","6","5","7","8","3","4","2","1","3","4","2","1","6","5","7","8","10"
"24","6","1","7","4","4","7","1","6","2","5","3","8","8","3","5","2","14"
"25","6","7","4","1","2","3","8","5","5","8","3","2","1","4","7","6","4"
"26","4","1","6","7","8","5","2","3","3","2","5","8","7","6","1","4","4"
"27","1","8","8","1","7","2","2","7","6","3","3","6","4","5","5","4","16"
"28","8","6","4","2","8","6","4","2","7","5","3","1","7","5","3","1","3"
"29","7","6","2","3","2","3","7","6","1","4","8","5","8","5","1","4","12"
"30","6","8","1","3","7","5","4","2","4","2","7","5","1","3","6","8","11"
"31","3","2","5","8","7","6","1","4","4","1","6","7","8","5","2","3","4"
"32","8","7","5","6","1","2","4","3","1","2","4","3","8","7","5","6","10"
"33","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","1"
"34","8","1","2","7","3","6","5","4","6","3","4","5","1","8","7","2","8"
"35","8","3","5","2","2","5","3","8","4","7","1","6","6","1","7","4","14"
